Category,Description,Категория,Ингредиенты,Описание,"Килокалории, kcal ","Белки","Углеводы","Жиры","Зола","Влага","Клетчатка","Холестерин, mg","Марганец, mg","Селен, mkg","Сахар общее","Тиамин, mg","Major Minerals.Calcium, mg","Major Minerals.Copper, mg","Major Minerals.Iron, mg","Major Minerals.Magnesium, mg","Major Minerals.Phosphorus, mg","Major Minerals.Potassium, mg","Major Minerals.Sodium, mg","Major Minerals.Zinc, mg","Vitamin A - IU, mkg","Vitamin A - RAE, mkg","Vitamin B12, mkg","Vitamin B6, mkg","Vitamin C, mkg","Vitamin E, mkg","Vitamin K, mkg"
WATER,"WATER,BTLD,GENERIC","Вода, соль и сахар",Вода,Обыкновенный,0,0.0,0.0,0.0,0.07,99.98,0.0,0,0.0,0.0,0.0,0.0,10,0.007,0.0,2,0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0
SUGARS,"SUGARS,GRANULATED","Вода, соль и сахар",Сахар,"Белый, Гранулированный",387,0.0,99.98,0.0,0.0,0.03,0.0,0,0.0,0.6,99.91000366,0.0,1,0.0,0.01,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
SUGARS,"SUGARS,MAPLE","Вода, соль и сахар",Сахар,Кленовый,354,0.1,90.9,0.2,0.8,8.0,0.0,0,4.422,0.8,84.87000275,0.009,90,0.099,1.61,19,3,274,11,6.06,0,0,0.0,0.003,0.0,0.0,0.0
SUGARS,"SUGARS,BROWN","Вода, соль и сахар",Сахар,Коричневый,380,0.12,98.09,0.0,0.45,1.34,0.0,0,0.064,1.2,97.01999664,0.0,83,0.047,0.71,9,4,133,28,0.03,0,0,0.0,0.041,0.0,0.0,0.0
SUGARS,"SUGARS,POWDERED","Вода, соль и сахар",Сахар,Пудра,389,0.0,99.6,0.1,0.0,0.3,0.0,0,0.001,0.6,97.91000366,0.0,1,0.001,0.02,0,0,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0
SALT,"SALT,TABLE","Вода, соль и сахар",Соль,Поваренная,0,0.0,0.0,0.0,99.8,0.2,0.0,0,0.1,0.1,0.0,0.0,24,0.03,0.33,1,0,8,38758,0.1,0,0,0.0,0.0,0.0,0.0,0.0
ARTICHOKES,"ARTICHOKES,(GLOBE OR FRENCH),RAW",Зелень и специи,Артишоки,Обыкновенный,47,3.27,10.51,0.15,1.13,84.94,5.400000095,0,0.256,0.2,0.99000001,0.072,44,0.231,1.28,60,90,370,94,0.49,13,1,0.0,0.116,11.7,0.19,14.8
BASIL,"BASIL,FRESH",Зелень и специи,Базилик,Обыкновенный,23,3.15,2.65,0.64,1.49,92.06,1.600000024,0,1.148,0.3,0.300000012,0.034,177,0.385,3.17,64,56,295,4,0.81,5275,264,0.0,0.155,18.0,0.8,414.8
SEAWEED,"SEAWEED,LAVER,RAW",Зелень и специи,Водоросли,Морская Водоросль (Нори),35,5.81,5.11,0.28,3.77,85.03,0.300000012,0,0.988,0.7,0.49000001,0.098,70,0.264,1.8,2,58,356,48,1.05,5202,260,0.0,0.159,39.0,1.0,4.0
SEAWEED,"SEAWEED,KELP,RAW",Зелень и специи,Водоросли,Морская Капуста (Ламинария),43,1.68,9.57,0.56,6.61,81.58,1.299999952,0,0.2,0.7,0.600000024,0.05,168,0.13,2.85,121,42,89,233,1.23,116,6,0.0,0.002,3.0,0.87,66.0
